Name,ID,Category,Color,Attribute,Life,Power,Counter,Cost,Ability Text,Type
Monkey.D.Luffy,P-001,Character,Red,Strike,null,7000,,6,[DON!! x2] This Character gains [Rush].(This card can attack on the turn in which it is played.),Supernovas/Straw Hat Crew
I'm Gonna Be King of the Pirates!!,P-024,Event,Green,null,null,null,,2,[Main] Your Leader gains +1000 power for each of your Characters during this turn.[Trigger] Up to 1 of your Leader or Character cards gains +1000 power during this turn.,Supernovas/Straw Hat Crew
Smoker,P-025,Character,Black,Special,null,5000,,3,[DON!! x1] This Character cannot be K.O.'d in battle by Characters without the ＜Special＞ attribute.,Navy
Morgan,P-026,Character,Black,Slash,null,5000,+1000 Counter,4,[When Attacking] Give up to 1 of your opponent's Characters −3 cost during this turn.,Navy
Monkey.D.Luffy,P-035,Character,Black,Strike,null,6000,,6,[DON!! x1] [When Attacking] You may trash 1 card from your hand: K.O. up to 1 of your opponent's Characters with a cost of 0.,Straw Hat Crew
Nefeltari Vivi,ST01-009,Character,Red,Slash,null,4000,+1000 Counter,2,null,Alabasta
Monkey.D.Luffy,P-037,Character,Green,Strike,null,4000,,2,"[When Attacking] If you have 2 or more rested Characters, this Character gains +1000 power during this turn.",Straw Hat Crew
Monkey.D.Luffy,P-036,Character,Yellow,Strike,null,4000,+1000 Counter,3,[When Attacking] You may add 1 card from the top or bottom of your Life cards to your hand: This Character and up to 1 of your Leader gain +1000 power during this turn.,Land of Wano/Straw Hat Crew
Bellamy,P-039,Character,Yellow,Strike,null,6000,,5,"[Banish](When this card deals damage, the target card is trashed without activating its Trigger.)[DON!! x2] If you have 0 Life cards, this Character gains +2000 power.",Bellamy Pirates
Monkey.D.Luffy,P-041,Character,Purple,Strike,null,12000,+1000 Counter,10,null,The Four Emperors/Straw Hat Crew
Hody & Hyouzou,P-062,Character,Green,Slash/Strike,null,6000,,4,"[Active: Main] [Once Per Turn] Rest up to 1 of your opponent's Characters with a cost of 4 or less and this Character gains +1000 power during this turn. Then, add 1 card from the top of your Life cards to your hand.",Fish-Man/Merfolk/New Fish-Man Pirates
Roronoa Zoro,P-045,Character,Purple,Slash,null,7000,+1000 Counter,6,"[Banish](When this card deals damage, the target card is trashed without activating its Trigger.)",Straw Hat Crew
Portgas.D.Ace,OP03-001,Leader,Red,Special,5,5000,,null,"When this Leader attacks or is attacked, you may trash any number of Event or Stage cards from your hand. This Leader gains +1000 power during this battle for every card trashed.",Whitebeard Pirates
"Eustass""Captain""Kid",P-067,Character,Green,Special,null,6000,,5,"If this Character is rested, your opponent cannot attack any card other than the Character [Eustass""Captain""Kid].",Supernovas/Kid Pirates
Sanji,P-068,Character,Blue,Strike,null,4000,+2000 Counter,3,[Activate: Main] You may trash this Character: Look at 5 cards from the top of your deck and place them at the top or bottom of the deck in any order.,Kingdom of GERMA/The Vinsmoke Family
Sakazuki,P-076,Leader,Blue/Black,Special,4,5000,,null,[Activate: Main] [Once Per Turn] You may trash 1{Navy}type card from your hand: Give up to 1 of your opponent's Characters −1 cost during this turn.,Navy
Monkey.D.Luffy,P-043,Character,Blue,Strike,null,7000,+1000 Counter,7,[On Play] Return up to 1 Character with a cost of 3 or less to the owner's hand.,Straw Hat Crew
Boa Hancock,P-066,Character,Blue,Special,null,5000,+1000 Counter,4,"[Your Turn] If you have 5 or less cards in your hand, all of your{Kuja Pirates}type Characters gain +1000 power.",The Seven Warlords of the Sea/Kuja Pirates
Monkey.D.Luffy,OP05-060,Leader,Purple,Strike,5,5000,,null,"[Activate: Main] [Once Per Turn] You may add 1 card from the top of your Life cards to your hand: If you have 0 or 3 or more DON!! cards on your field, add up to 1 DON!! card from your DON!! deck and set it as active.",Straw Hat Crew
Marco,P-071,Character,Blue,Special,null,6000,,4,[On K.O.] You may add this Character card to your hand.,Whitebeard Pirates
Monkey.D.Luffy,P-080,Character,Red,Strike,null,9000,+1000 Counter,7,null,The Four Emperors/Egghead/Straw Hat Crew
Nami,ST01-007,Character,Red,Special,null,1000,+1000 Counter,1,[Activate: Main] [Once Per Turn] Give up to 1 rested DON!! card to your Leader or 1 of your Characters.,Straw Hat Crew
Enel,OP05-098,Leader,Yellow,Special,4,5000,,null,"[Opponent's Turn] [Once Per Turn] When your number of Life cards becomes 0, add 1 card from the top of your deck to the top of your Life cards. Then, trash 1 card from your hand.",Sky Island
Roronoa Zoro,OP07-113,Character,Yellow,Slash,null,6000,+1000 Counter,5,"[Trigger] If your Leader has the{Egghead}type, rest up to 1 of your opponent's Leader or Character cards.",Egghead/Straw Hat Crew
Monkey.D.Luffy,ST10-006,Character,Red,Strike,null,11000,,10,"[Rush](This card can attack on the turn in which it is played.)[Once Per Turn] When your opponent activates a [Blocker], K.O. up to 1 of your opponent's Characters with 8000 power or less.",Straw Hat Crew
Monkey.D.Luffy,ST01-001,Leader,Red,Strike,5,5000,,null,[Activate: Main] [Once Per Turn] Give this Leader or 1 of your Characters up to 1 rested DON!! card.,Supernovas/Straw Hat Crew
Roronoa Zoro,ST01-013,Character,Red,Slash,null,5000,,3,[DON!! x1] This Character gains +1000 power.,Supernovas/Straw Hat Crew
Tony Tony.Chopper,ST01-006,Character,Red,Strike,null,1000,,1,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",Animal/Straw Hat Crew
Usopp,OP01-004,Character,Red,Ranged,null,3000,+2000 Counter,2,[DON!! x1] [Your Turn] [Once Per Turn] Draw 1 card when your opponent activates an Event.,Straw Hat Crew
Kuzan,OP02-096,Character,Black,Special,null,5000,,4,[On Play] Draw 1 card.[When Attacking] Give up to 1 of your opponent's Characters −4 cost during this turn.,Navy
Sakazuki,OP02-099,Character,Black,Special,null,7000,,6,[On Play] You may trash 1 card from your hand: K.O. up to 1 of your opponent's Characters with a cost of 5 or less.,Navy
Borsalino,OP02-114,Character,Black,Special,null,5000,+1000 Counter,4,"[Opponent's Turn] This Character gains +1000 power and cannot be K.O.'d by effects.[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)",Navy
Roronoa Zoro,OP01-025,Character,Red,Slash,null,5000,,3,[Rush](This card can attack on the turn in which it is played.),Supernovas/Straw Hat Crew
Queen,ST04-005,Character,Purple,Strike,null,6000,+1000 Counter,5,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] DON!! −1(You may return the specified number of DON!! cards from your field to your DON!! deck.): Draw 2 cards and trash 1 card from your hand.",Animal Kingdom Pirates
Marco,OP02-018,Character,Red,Special,null,5000,+1000 Counter,4,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On K.O.] You may trash 1 card with a type including ""Whitebeard Pirates"" from your hand: If you have 2 or less Life cards, play this Character card from your trash rested.",Whitebeard Pirates
Shanks,OP01-120,Character,Red,Slash,null,10000,,9,[Rush](This card can attack on the turn in which it is played.)[When Attacking] Your opponent cannot activate a [Blocker] Character that has 2000 or less power during this battle.,The Four Emperors/Red-Haired Pirates
"Eustass""Captain""Kid",P-003,Character,Green,Special,null,4000,+1000 Counter,3,[DON!! x2] This Character gains [Double Attack].(This card deals 2 damage.),Supernovas/Kid Pirates
Edward.Newgate,OP02-004,Character,Red,Special,null,10000,,9,"[On Play] Up to 1 of your Leader gains +2000 power until the start of your next turn. Then, you cannot add Life cards to your hand using your own effects during this turn.[DON!! x2] [When Attacking] K.O. up to 1 of your opponent's Characters with 3000 power or less.",The Four Emperors/Whitebeard Pirates
Marco,OP03-013,Character,Red,Special,null,6000,+1000 Counter,5,[Your Turn] [On Play] K.O. up to 1 of your opponent's Characters with 3000 power or less.[On K.O.] You may trash 1 Event from your hand: You may play this Character card from your trash rested.,Whitebeard Pirates
Jozu,OP02-008,Character,Red,Strike,null,4000,+2000 Counter,4,"[DON!! x1] If you have 2 or less Life cards and your Leader's type includes ""Whitebeard Pirates"", this Character gains [Rush].(This card can attack on the turn in which it is played.)",Whitebeard Pirates
Sabo,OP04-083,Character,Black,Special,null,6000,+1000 Counter,5,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] None of your Characters can be K.O.'d by effects until the start of your next turn. Then, draw 2 cards and trash 2 cards from your hand.",Dressrosa/Revolutionary Army
Kaido,ST04-003,Character,Purple,Strike,null,10000,,9,[On Play] DON!! −5(You may return the specified number of DON!! cards from your field to your DON!! deck.): K.O. up to 1 of your opponent's Characters with a cost of 6 or less. This Character gains [Rush] during this turn.(This card can attack on the turn in which it is played.),The Four Emperors/Animal Kingdom Pirates
Koby,OP02-098,Character,Black,Strike,null,4000,+1000 Counter,3,[On Play] You may trash 1 card from your hand: K.O. up to 1 of your opponent's Characters with a cost of 3 or less.,Navy
Monkey.D.Garp,ST06-012,Character,Black,Strike,null,6000,,5,[Activate: Main] You may trash 1 card from your hand and rest this Character: K.O. up to 1 of your opponent's Characters with a cost of 4 or less.,Navy
Monkey.D.Luffy,P-061,Character,Green,Strike,null,10000,+1000 Counter,8,null,FILM/Straw Hat Crew
"Eustass""Captain""Kid",ST10-013,Character,Purple,Special,null,8000,,7,[On Play]/[When Attacking] DON!! −1(You may return the specified number of DON!! cards from your field to your DON!! deck.): Up to 1 of your Leader gains +1000 power until the start of your next turn.,Kid Pirates
Trafalgar Law,ST10-010,Character,Purple,Slash,null,5000,+1000 Counter,4,"[Blocker](After your opponent declares an attack, you may rest this card to make it the new target of the attack.)[On Play] DON!! −1(You may return the specified number of DON!! cards from your field to your DON!! deck.): If your opponent has 7 or more cards in their hand, trash 2 cards from your opponent's hand.",Heart Pirates
Yamato,OP01-121,Character,Green,Strike,null,5000,+1000 Counter,5,"Also treat this card's name as [Kouzuki Oden] according to the rules.[Double Attack](This card deals 2 damage.)[Banish](When this card deals damage, the target card is trashed without activating its Trigger.)",Land of Wano
Charlotte Linlin,ST07-010,Character,Yellow,Special,null,8000,,7,[On Play] Your opponent chooses one:- Trash 1 card from the top of your opponent's Life cards.- Add 1 card from the top of your deck to the top of your Life cards.,The Four Emperors/Big Mom Pirates
Kaido,OP01-094,Character,Purple,Strike,null,12000,,10,"[On Play] DON!! −6(You may return the specified number of DON!! cards from your field to your DON!! deck.): If your Leader has the{Animal Kingdom Pirates}type, K.O. all Characters other than this Character.",The Four Emperors/Animal Kingdom Pirates
